Level,APPLY,ID
L1,APPLY,1.1.1
L1,APPLY,1.1.2
L1,APPLY,1.1.3
L1,APPLY,1.1.4
L1,APPLY,1.1.5
L1,APPLY,1.1.6
L1,APPLY,1.1.7
L1,APPLY,1.2.1
L1,APPLY,1.2.2
L1,APPLY,1.2.3
L1,APPLY,1.2.4
L1,APPLY,17.1.1
L1,APPLY,17.2.1
L1,APPLY,17.2.2
L1,APPLY,17.2.3
L1,APPLY,17.3.1
L1,APPLY,17.3.2
L1,APPLY,17.5.1
L1,APPLY,17.5.2
L1,APPLY,17.5.3
L1,APPLY,17.5.4
L1,APPLY,17.5.5
L1,APPLY,17.5.6
L1,APPLY,17.6.1
L1,APPLY,17.6.2
L1,APPLY,17.6.3
L1,APPLY,17.6.4
L1,APPLY,17.7.1
L1,APPLY,17.7.2
L1,APPLY,17.7.3
L1,APPLY,17.7.4
L1,APPLY,17.7.5
L1,APPLY,17.8.1
L1,APPLY,17.9.1
L1,APPLY,17.9.2
L1,APPLY,17.9.3
L1,APPLY,17.9.4
L1,APPLY,17.9.5
L1,APPLY,18.1.1.1
L1,APPLY,18.1.1.2
L1,APPLY,18.1.2.2
L1,APPLY,18.1.3
L1,APPLY,18.10.10.1
L1,APPLY,18.10.12.1
L1,APPLY,18.10.12.2
L1,APPLY,18.10.12.3
L1,APPLY,18.10.13.1
L1,APPLY,18.10.14.1
L1,APPLY,18.10.14.2
L1,APPLY,18.10.14.3
L1,APPLY,18.10.15.1
L1,APPLY,18.10.15.2
L1,APPLY,18.10.15.3
L1,APPLY,18.10.15.4
L1,APPLY,18.10.15.5
L1,APPLY,18.10.15.6
L1,APPLY,18.10.15.7
L1,APPLY,18.10.15.8
L1,APPLY,18.10.16.1
L1,APPLY,18.10.17.1
L1,APPLY,18.10.17.2
L1,APPLY,18.10.17.3
L1,APPLY,18.10.17.4
L1,APPLY,18.10.25.1.1
L1,APPLY,18.10.25.1.2
L1,APPLY,18.10.25.2.1
L1,APPLY,18.10.25.2.2
L1,APPLY,18.10.25.3.1
L1,APPLY,18.10.25.3.2
L1,APPLY,18.10.25.4.1
L1,APPLY,18.10.25.4.2
L1,APPLY,18.10.28.2
L1,APPLY,18.10.28.3
L1,APPLY,18.10.28.4
L1,APPLY,18.10.28.5
L1,APPLY,18.10.3.1
L1,APPLY,18.10.3.2
L1,APPLY,18.10.36.1
L1,APPLY,18.10.4.1
L1,APPLY,18.10.40.1
L1,APPLY,18.10.41.1
L1,APPLY,18.10.42.10.1
L1,APPLY,18.10.42.10.2
L1,APPLY,18.10.42.10.3
L1,APPLY,18.10.42.10.4
L1,APPLY,18.10.42.12.1
L1,APPLY,18.10.42.13.1
L1,APPLY,18.10.42.13.2
L1,APPLY,18.10.42.13.3
L1,APPLY,18.10.42.16
L1,APPLY,18.10.42.17
L1,APPLY,18.10.42.4.1
L1,APPLY,18.10.42.4.2
L1,APPLY,18.10.42.5.1.1
L1,APPLY,18.10.42.6.1.2.1.1
L1,APPLY,18.10.42.6.1.2.1.2
L1,APPLY,18.10.42.6.1.2.10.1
L1,APPLY,18.10.42.6.1.2.10.2
L1,APPLY,18.10.42.6.1.2.11.1
L1,APPLY,18.10.42.6.1.2.11.2
L1,APPLY,18.10.42.6.1.2.12.1
L1,APPLY,18.10.42.6.1.2.12.2
L1,APPLY,18.10.42.6.1.2.13.1
L1,APPLY,18.10.42.6.1.2.13.1
L1,APPLY,18.10.42.6.1.2.2.1
